id,topic,source,q,opts,ans_idx,exp,category,category_icon,is_active
397,TOPIC 29: RESEARCH METHODS II,CCN Curriculum,"In the Numbering System (Turabian/Chicago), sources are arranged:","[""Alphabetically"",""In the order they first appear in the text"",""By page count"",""By year only, ignoring author""]",1,"Each source gets a number the first time it's cited, and the reference list follows that same numerical order.",Research & Nursing Process,📊,true
398,TOPIC 29: RESEARCH METHODS II,CCN Curriculum,The Latin term 'Ibid' is used when citing:,"[""The same work, the same page as just cited"",""The same work, a different page from the last citation"",""A completely different, unrelated work"",""Only works published this year""]",1,Ibid tells the reader you're citing the same source again but from a different page than your previous citation.,Research & Nursing Process,📊,true
399,TOPIC 29: RESEARCH METHODS II,CCN Curriculum,The Latin term 'Op cit' is used when:,"[""A source already cited is referenced again, with other citations in between"",""Citing a source for the very first time"",""No source is being cited at all"",""Citing an unpublished thesis only""]",0,"Op cit ('already cited') is used to point back to a source you cited earlier, once other references have come between.",Research & Nursing Process,📊,true
400,TOPIC 29: RESEARCH METHODS II,CCN Curriculum,"In a bibliography, the correct group order for arranging sources is:","[""Journals → Books → Magazines/Newspapers → Other publications"",""Books → Journals → Other publications → Magazines/Newspapers"",""Random order within each letter of the alphabet"",""Newest to oldest publication date""]",0,"This is the fixed, expected grouping order for organising a bibliography's different source types.",Research & Nursing Process,📊,true
401,TOPIC 29: RESEARCH METHODS II,CCN Curriculum,A key formatting difference between Reference and Bibliography is that in Bibliography:,"[""The author's first name is written first"",""The author's surname is written first"",""No author details are included at all"",""Sources are never listed alphabetically""]",1,"Bibliography entries conventionally list the surname first (e.g., 'Nightingale, F.'), unlike normal prose naming.",Research & Nursing Process,📊,true
402,TOPIC 29: RESEARCH METHODS II,CCN Curriculum,Material such as a full questionnaire or consent form used in a study is best placed in the:,"[""Results chapter"",""Appendix"",""Abstract"",""Title page""]",1,"Bulky supporting material that would clutter the main chapters is moved to the Appendix instead, often labelled by section (A, B, C).","Ethics, Law & Management",⚖️,true
403,TOPIC 30: PRINCIPLES OF JUSTICE AND FAIRNESS,CCN Curriculum,"In nursing ethics, the principle of Justice specifically requires:","[""Treating all patients equally regardless of background"",""Giving preferential treatment to paying patients"",""Prioritising patients by social status"",""Ignoring resource limitations entirely""]",0,Justice in nursing means a patient's background should never influence the quality of care they receive.,"Ethics, Law & Management",⚖️,true
404,TOPIC 30: PRINCIPLES OF JUSTICE AND FAIRNESS,CCN Curriculum,"When triaging multiple patients, a nurse practising justice should prioritise based on:","[""Personal characteristics such as wealth"",""Clinical need"",""Order of arrival only, regardless of severity"",""Insurance status""]",1,"The sickest patient is treated first based on medical urgency, not on unrelated personal factors.",Mixed Revision,📚,true
405,TOPIC 30: PRINCIPLES OF JUSTICE AND FAIRNESS,CCN Curriculum,"Distributive Justice, as a concept, is most associated with the philosopher:","[""John Rawls"",""Aristotle"",""Sigmund Freud"",""Florence Nightingale""]",0,Rawls is closely linked with theories of fair allocation of resources and benefits across society.,Mixed Revision,📚,true
406,TOPIC 30: PRINCIPLES OF JUSTICE AND FAIRNESS,CCN Curriculum,The key distinction between Justice and Fairness is that:,"[""Justice = rightness/what's deserved; Fairness = impartiality/equal treatment"",""They mean exactly the same thing with no difference"",""Justice only applies to law, never to nursing"",""Fairness only applies to financial matters""]",0,"Justice is about the rightness of an outcome, while fairness is specifically about impartial, unbiased treatment in the process.",Mixed Revision,📚,true
407,TOPIC 30: PRINCIPLES OF JUSTICE AND FAIRNESS,CCN Curriculum,Applying the exact same rule to everyone regardless of their different starting points is:,"[""Always guaranteed to be fair"",""Justice, but not necessarily truly fair to everyone"",""Never a valid ethical approach"",""Only relevant in legal settings""]",1,"Equal treatment (justice) doesn't always account for people's different disadvantages or starting points, which is where fairness comes in.","Ethics, Law & Management",⚖️,true
408,TOPIC 30: PRINCIPLES OF JUSTICE AND FAIRNESS,CCN Curriculum,"Fairness, as distinct from strict justice, aims to:","[""Ignore differences between individuals entirely"",""Close the gaps opened by injustice and inequality"",""Only benefit those who are already advantaged"",""Apply identical resources regardless of need""]",1,Fairness may mean giving different amounts of support so that everyone ends up with a genuinely equal chance.,Mixed Revision,📚,true
409,TOPIC 30: PRINCIPLES OF JUSTICE AND FAIRNESS,CCN Curriculum,Justice in resource allocation involves ensuring that:,"[""No patient is unfairly disadvantaged in access to medication, treatment, or staff time"",""Resources always go to the first patient who asks"",""Resource allocation is kept secret from patients"",""Only wealthy patients receive full resources""]",0,"Equitable distribution of limited resources, without unfairly disadvantaging any patient, is central to justice in nursing practice.",Shock & Haemorrhage,⚡,true
410,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,The normal pH range for arterial blood is:,"[""7.0–7.2"",""7.35–7.45"",""7.5–7.6"",""6.8–7.0""]",1,This narrow range must be maintained for normal cell and enzyme function.,ABG & Electrolytes,🩸,true
411,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,A rise in PaCO2 causing acidosis indicates the disorder is:,"[""Metabolic"",""Respiratory"",""Neither respiratory nor metabolic"",""Always compensated""]",1,"CO2 is controlled by the lungs, so a CO2-driven pH problem is classified as respiratory in origin.",Respiratory,🫁,true
412,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,A fall in HCO3 causing acidosis indicates the disorder is:,"[""Respiratory"",""Metabolic"",""Purely a lab error"",""Always fatal""]",1,"Bicarbonate is controlled by the kidneys, so a HCO3-driven pH problem is classified as metabolic.",Respiratory,🫁,true
413,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,The normal anion gap range is:,"[""0–5mmol/L"",""8–18mmol/L"",""30–50mmol/L"",""100–150mmol/L""]",1,"Values above this range suggest a high-anion-gap metabolic acidosis, caused by extra unmeasured acid in the blood.",ABG & Electrolytes,🩸,true
414,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,"A high anion gap metabolic acidosis, such as in DKA, is caused by:","[""Loss of bicarbonate from diarrhoea"",""Extra unmeasured acid (e.g. ketones) in the blood"",""Excess vomiting"",""Hyperventilation alone""]",1,"Ketone bodies act as an unmeasured acid load, widening the anion gap, unlike bicarbonate-loss acidosis which keeps the gap normal.",Respiratory,🫁,true
415,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,Type 1 Respiratory Failure is characterised by:,"[""Low PaO2 with normal or low PaCO2"",""High PaCO2 only"",""Normal PaO2 and PaCO2"",""High PaO2 with low PaCO2""]",0,Type 1 failure is primarily an oxygenation problem; Type 2 failure adds a CO2 retention problem on top.,Respiratory,🫁,true
416,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,"In metabolic acidosis, the expected respiratory compensation (fall in PaCO2) is calculated as:","[""0.1 × the HCO3 fall"",""1.25 × the HCO3 fall"",""No compensation ever occurs"",""2 × the pH change""]",1,"The lungs blow off CO2 to help correct the acidosis, and this expected compensation follows this specific formula.",Respiratory,🫁,true
417,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,A Modified Allen's Test that shows NO flushing after releasing the ulnar artery indicates:,"[""Safe to proceed with radial puncture"",""Inadequate collateral circulation — avoid that site"",""The patient is dehydrated"",""A normal, expected finding""]",1,"A negative result means the ulnar artery alone can't adequately supply the hand, so radial puncture on that wrist should be avoided.",ABG & Electrolytes,🩸,true
418,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,A completely normal pH on an ABG:,"[""Always rules out any acid-base disorder"",""Does NOT rule out a mixed disorder"",""Only occurs in healthy people"",""Means PaCO2 and HCO3 must also be normal""]",1,"Two opposing disorders (e.g. respiratory acidosis plus metabolic alkalosis) can cancel each other out, producing a falsely reassuring normal pH — always check all three values.",ABG & Electrolytes,🩸,true
419,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,The first step in the recommended 5-step ABG interpretation approach is to assess:,"[""Compensation"",""Oxygenation"",""Anion gap"",""Base excess only""]",1,Checking oxygenation (PaO2/SO2) first ensures you don't miss a life-threatening hypoxaemia while focused on acid-base status.,Respiratory,🫁,true
420,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,Radial artery sampling for ABG is typically performed at what needle angle?,"[""90°"",""45°"",""10°"",""180°""]",1,"A 45° angle, bevel up, is the standard technique for accessing the relatively superficial radial artery.",ABG & Electrolytes,🩸,true
421,TOPIC 31–32: ARTERIAL BLOOD GAS (ABG) ANALYSIS — PARTS I & II,CCN Curriculum,"In respiratory acidosis, the kidneys compensate by:","[""Decreasing HCO3 reabsorption"",""Increasing HCO3 reabsorption and H+ excretion"",""Having no role in compensation"",""Immediately normalising pH within minutes""]",1,"The kidneys respond to a CO2-driven acidosis slowly, over time, by retaining more bicarbonate to help buffer the excess acid.",Respiratory,🫁,true
422,TOPIC 33: EVALUATION PHASE OF THE NURSING PROCESS,CCN Curriculum,Evaluation in the nursing process is best described as:,"[""A one-time final step only"",""An ongoing procedure of re-assessment"",""Something done only by physicians"",""Unrelated to the original care plan""]",1,"Evaluation happens continuously throughout care, essentially repeating the assessment step to check progress against the plan.",Research & Nursing Process,📊,true
423,TOPIC 33: EVALUATION PHASE OF THE NURSING PROCESS,CCN Curriculum,The 4 skills used in evaluation are:,"[""Observation, Interviewing, Record keeping, Interpretation"",""Diagnosis, Planning, Implementation, Discharge"",""Palpation, Auscultation, Percussion, Inspection"",""Prescribing, Administering, Charting, Billing""]",0,These four skills together let the nurse gather and make sense of information about how the patient is progressing.,Research & Nursing Process,📊,true
424,TOPIC 33: EVALUATION PHASE OF THE NURSING PROCESS,CCN Curriculum,Formative evaluation is best described as:,"[""A one-time review done only at discharge"",""Ongoing judgment of the intervention as it is being implemented"",""Only relevant to research studies"",""The same thing as summative evaluation""]",1,"Formative evaluation happens in real-time, continually checking and adjusting during the course of care.",Research & Nursing Process,📊,true
425,TOPIC 33: EVALUATION PHASE OF THE NURSING PROCESS,CCN Curriculum,Summative evaluation is best described as:,"[""A continuous, real-time check during care"",""A final review of the whole care plan against stated objectives"",""Something done before any care is given"",""Only used for formative goals""]",1,Summative evaluation looks back at the entire plan once care is complete (or at a defined endpoint) to judge overall success.,Research & Nursing Process,📊,true
426,TOPIC 33: EVALUATION PHASE OF THE NURSING PROCESS,CCN Curriculum,"If a goal states a patient will gain 2kg in 4 weeks, and the patient gains only 1kg, the goal is classified as:","[""Met"",""Partially Met"",""Not Met"",""Cannot be evaluated""]",1,"Some progress was made toward the goal, but the full target wasn't reached, which is exactly what 'partially met' describes.",Research & Nursing Process,📊,true
427,TOPIC 33: EVALUATION PHASE OF THE NURSING PROCESS,CCN Curriculum,A subtle but important principle of re-assessment is that:,"[""A goal that appears met always means the problem is fully solved"",""A goal may be met on paper while the underlying problem remains unsolved"",""Re-assessment is unnecessary once a goal is achieved"",""Only unmet goals require re-assessment""]",1,This is a classic exam trap — documented 'success' doesn't always mean the real clinical problem has actually been resolved.,Burns & Trauma,🔥,true
428,TOPIC 33: EVALUATION PHASE OF THE NURSING PROCESS,CCN Curriculum,One of the stated advantages of the nursing process is that it:,"[""Promotes decisions based on routine, unquestioned habits"",""Promotes individualised care and evidence-based decisions"",""Removes the need for documentation"",""Eliminates the need for reassessment""]",1,"The structured, data-driven nature of the nursing process supports care tailored to the individual patient, avoiding purely routine-based decisions.",Research & Nursing Process,📊,true
429,TOPIC 33: EVALUATION PHASE OF THE NURSING PROCESS,CCN Curriculum,Which of the following is one of the skills specifically used during the evaluation phase?,"[""Prescribing medication"",""Interviewing"",""Performing surgery"",""Billing insurance""]",1,Talking with the patient (interviewing) is one of the direct ways a nurse gathers information to judge how care is progressing.,Research & Nursing Process,📊,true
430,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,"Conflict that occurs within a single individual, such as being torn between two duties, is classified as:","[""Interpersonal conflict"",""Intrapersonal conflict"",""Intergroup conflict"",""Role conflict""]",1,"This type of conflict is an internal struggle happening inside one person's mind, not between two separate people.",Mixed Revision,📚,true
431,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,Conflict arising from unclear or overlapping job expectations between two staff members is known as:,"[""Intragroup conflict"",""Role conflict"",""Intrapersonal conflict"",""Distributive conflict""]",1,"When it's unclear who is responsible for what, that ambiguity itself becomes a source of conflict.",Mixed Revision,📚,true
432,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,"According to the Thomas-Kilmann model, the conflict resolution style with both high assertiveness and high cooperation is:","[""Competing"",""Avoiding"",""Collaborating"",""Accommodating""]",2,"Collaborating aims for a genuine win-win outcome, requiring both parties to actively push for and cooperate toward a shared solution.",Obstetric & Neonatal,🤱,true
433,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,A nurse overriding a hesitant colleague's objection to start immediate CPR during a cardiac arrest is an example of which conflict style?,"[""Avoiding"",""Competing"",""Accommodating"",""Collaborating""]",1,High assertiveness with low cooperation — pursuing the necessary action decisively — is appropriate in a genuine time-critical emergency.,Cardiovascular,🫀,true
434,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,The conflict resolution style where one party gives in to preserve the relationship is called:,"[""Competing"",""Compromising"",""Accommodating"",""Avoiding""]",2,"Accommodating means prioritising the relationship or the other person's concern over your own, often because the issue matters more to them.",Mixed Revision,📚,true
435,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,The stage of conflict where the disagreement becomes visible through behaviour such as arguing or withdrawal is the:,"[""Latent stage"",""Perceived stage"",""Manifest stage"",""Aftermath stage""]",2,This is the stage where everyone else around can actually observe that a conflict is happening.,Mixed Revision,📚,true
436,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,"When mediating conflict between staff, a nurse manager should ideally:","[""Take sides with the more senior staff member"",""Act as a neutral mediator"",""Resolve the conflict publicly in front of patients"",""Avoid addressing it entirely""]",1,A manager who is seen to favour one side loses the trust needed to mediate fairly between the two parties.,"Ethics, Law & Management",⚖️,true
437,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,Which conflict resolution style involves each party giving up something to reach a middle-ground solution?,"[""Collaborating"",""Compromising"",""Competing"",""Avoiding""]",1,"Compromising is a 'split the difference' approach where both sides get some, but not all, of what they originally wanted.",Obstetric & Neonatal,🤱,true
438,TOPIC 34: CONFLICT AND CONFLICT RESOLUTION,CCN Curriculum,Conflict left unresolved over time can lead to:,"[""Improved teamwork automatically"",""Reduced staff morale and compromised patient safety"",""No lasting effect on the team"",""Guaranteed resolution eventually""]",1,Conflict that festers doesn't stay contained to the two people involved — it can erode team functioning and ultimately affect patient care.,Mixed Revision,📚,true
439,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,Medical asepsis ('clean technique') is primarily used for:,"[""Central line insertion"",""Non-invasive procedures like routine care and wound dressing"",""Open heart surgery"",""Intubation""]",1,"Clean technique reduces germs to a safer level without eliminating every single microorganism, suitable for non-invasive care.",Cardiovascular,🫀,true
440,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,Surgical asepsis ('sterile technique') aims to:,"[""Reduce germs to a safe level"",""Eliminate ALL microorganisms and spores"",""Only target visible dirt"",""Replace the need for hand hygiene""]",1,"Because invasive procedures breach the body's natural defences, a zero-tolerance approach to microorganisms is required.",Infection Prevention,🦠,true
441,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,"ICU patients account for approximately what proportion of all hospital-acquired infections, despite occupying fewer than 10% of beds?","["">5%"","">20%"","">50%"","">90%""]",1,This striking disparity highlights how disproportionately vulnerable ICU patients are to hospital-acquired infection.,Infection Prevention,🦠,true
442,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,"According to WHO's 5 Moments of Hand Hygiene, hand hygiene should be performed:","[""Only after touching a patient"",""Before touching a patient, before an aseptic procedure, after body fluid exposure risk, after touching a patient, and after touching patient surroundings"",""Only once per shift"",""Only when hands are visibly soiled""]",1,This WHO framework identifies five specific moments during patient care where hand hygiene must be performed.,Infection Prevention,🦠,true
443,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,"The preferred method of hand hygiene, except when hands are visibly soiled, is:","[""Soap and water"",""Alcohol-based hand rub"",""No hand hygiene is needed between patients"",""Antibacterial wipes only""]",1,"Alcohol-based rub is faster and equally or more effective than soap and water, except when there is visible soiling requiring a physical wash.",Infection Prevention,🦠,true
444,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,Ventilator-associated pneumonia (VAP) is a hospital-acquired infection specifically linked to:,"[""Urinary catheters"",""Mechanical ventilation"",""Central lines"",""Surgical wounds""]",1,"As the name suggests, this infection is directly associated with the presence of an endotracheal tube and mechanical ventilation.",Respiratory,🫁,true
445,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,CLABSI stands for an infection associated with:,"[""Central lines"",""Chest tubes"",""Catheters in the bladder"",""Surgical incisions""]",0,Central Line-Associated BloodStream Infection is directly linked to the presence of a central venous catheter.,Respiratory,🫁,true
446,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,Antisepsis specifically refers to:,"[""The overall state of being germ-free"",""The use of chemical solutions for disinfection"",""Sterilisation of surgical instruments only"",""A synonym for medical asepsis""]",1,Antisepsis is one specific tool within the broader concept of asepsis — using chemical agents to reduce or kill microorganisms.,Infection Prevention,🦠,true
447,TOPIC 35: ASEPSIS IN CRITICAL CARE UNIT,CCN Curriculum,The target hand hygiene compliance rate in ICU settings is generally considered to be:,"["">50%"","">90%"","">10%"",""Compliance targets are not tracked""]",1,"Given how critical hand hygiene is to preventing HAIs, a high compliance target (over 90%) is the goal, even though actual ICU compliance is often suboptimal.",Infection Prevention,🦠,true
448,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,"Among renal transplant types, the best expected outcome is generally seen with:","[""Cadaveric donation"",""Living-related donation"",""Living non-related donation"",""All types have identical outcomes""]",1,"A closer genetic match, as seen with living-related donors, is associated with the best transplant outcomes.",Renal & Fluid Balance,💧,true
449,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,Hyperacute transplant rejection occurs within:,"[""Minutes to hours"",""1–4 days"",""Days to weeks"",""Months to years""]",0,"This is the fastest and most immediate type of rejection, driven by pre-formed antibodies already present in the recipient.",Renal & Fluid Balance,💧,true
450,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,Chronic transplant rejection typically develops over:,"[""Minutes to hours"",""1–4 days"",""Days to weeks"",""Months to years""]",3,"Chronic rejection is a slow, multifactorial process that unfolds over a much longer timeframe than the other rejection types.",Renal & Fluid Balance,💧,true
451,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,The standard triple immunosuppression regimen after renal transplant includes:,"[""Cyclosporine/Tacrolimus + Azathioprine/Mycophenolate + Prednisolone"",""Insulin + Metformin + Glipizide"",""Aspirin + Clopidogrel + Warfarin"",""Only prednisolone alone""]",0,This three-drug combination targets the immune response through different mechanisms to prevent rejection.,Renal & Fluid Balance,💧,true
452,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,Post-operative monitoring of cyclosporine levels in a renal transplant recipient is performed:,"[""Once daily"",""Every hour"",""Once weekly"",""Only if symptoms develop""]",1,This unusually frequent monitoring reflects how tightly cyclosporine levels must be controlled to avoid both rejection and drug toxicity.,Renal & Fluid Balance,💧,true
453,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,"At 10 years, survival with a living-related renal transplant is approximately:","[""8.49%"",""55.07%"",""74.84%"",""100%""]",2,This figure dramatically outperforms both cadaveric transplant and dialysis-alone survival at the same time point.,Renal & Fluid Balance,💧,true
454,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,"At 10 years, survival on dialysis alone (without transplant) is approximately:","[""8.49%"",""55.07%"",""74.84%"",""95%""]",0,"This strikingly low figure demonstrates why transplant, when possible, is so strongly preferred over long-term dialysis alone.",Renal & Fluid Balance,💧,true
455,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,Which of the following is an absolute contraindication to renal transplant?,"[""Well-controlled hypertension"",""Active uncontrolled infection"",""Age over 60 with good health"",""Mild anaemia""]",1,"An active, uncontrolled infection makes the immunosuppression required after transplant dangerously unsafe.",Cardiovascular,🫀,true
456,TOPIC 36: RENAL TRANSPLANT — CRITICAL CARE UNIT MANAGEMENT,CCN Curriculum,The best timing for renal transplant relative to dialysis is:,"[""Only after years of dialysis"",""Pre-emptive (before dialysis) or with minimal dialysis time"",""Timing makes no difference to outcomes"",""Only after complete kidney failure with no urine output""]",1,Transplanting before or very early in dialysis is associated with better outcomes than waiting through prolonged dialysis first.,Renal & Fluid Balance,💧,true
457,TOPIC 37: NEPHRECTOMY — INDICATIONS AND CCU MANAGEMENT,CCN Curriculum,"The first successful nephrectomy, performed in 1869, demonstrated that:","[""Kidney removal is always fatal"",""One healthy kidney is sufficient for urine excretion"",""Both kidneys must always be removed together"",""Nephrectomy was not possible until modern times""]",1,Gustav Simon's pioneering operation proved a fact now taken for granted — a person can live normally with just one functioning kidney.,Renal & Fluid Balance,💧,true
458,TOPIC 37: NEPHRECTOMY — INDICATIONS AND CCU MANAGEMENT,CCN Curriculum,Nephroureterectomy involves removal of:,"[""The kidney only"",""The kidney, the entire ureter, and a cuff of bladder"",""Only the ureter"",""Both kidneys and the bladder entirely""]",1,This more extensive procedure removes the whole urinary tract pathway when cancer could be anywhere along it.,Renal & Fluid Balance,💧,true
459,TOPIC 37: NEPHRECTOMY — INDICATIONS AND CCU MANAGEMENT,CCN Curriculum,"For a cancer nephrectomy performed laparoscopically, the kidney must be removed:","[""Broken into pieces through small incisions"",""Whole, inside a protective bag"",""Left inside the body"",""Through the mouth""]",1,"Removing the kidney whole, contained in a bag, prevents cancer cells from spreading during extraction.",Renal & Fluid Balance,💧,true
460,TOPIC 37: NEPHRECTOMY — INDICATIONS AND CCU MANAGEMENT,CCN Curriculum,"For a non-cancer nephrectomy performed laparoscopically, the kidney can be:","[""Only removed whole, never morcellated"",""Morcellated (broken up) and removed through small incisions"",""Left inside the abdominal cavity"",""Removed only via open surgery""]",1,"Without cancer risk, the kidney can be safely broken into smaller pieces for removal through the small laparoscopic incisions.",Renal & Fluid Balance,💧,true
461,TOPIC 37: NEPHRECTOMY — INDICATIONS AND CCU MANAGEMENT,CCN Curriculum,Post-nephrectomy donor investigations typically include:,"[""Chest X-ray, FBC, Electrolytes/Urea/Creatinine, eGFR"",""Only a urine dipstick"",""No pre-operative investigations are needed"",""Bone marrow biopsy""]",0,These tests assess both general fitness for surgery and specifically the kidney function relevant to donation.,ABG & Electrolytes,🩸,true
462,TOPIC 37: NEPHRECTOMY — INDICATIONS AND CCU MANAGEMENT,CCN Curriculum,The complication rate for partial nephrectomy is approximately:,"[""1–2%"",""15–25%"",""50–60%"",""90–100%""]",1,"This is a clinically significant rate, with bleeding, infection, and urinary leak being the most common complications.",Renal & Fluid Balance,💧,true
463,TOPIC 37: NEPHRECTOMY — INDICATIONS AND CCU MANAGEMENT,CCN Curriculum,Post-nephrectomy hospital stay typically ranges from:,"[""2–7 days"",""2–4 weeks"",""6 months"",""Discharge is always same-day""]",0,"The length of stay depends on the specific procedure and the patient's recovery, generally falling within this range.",Renal & Fluid Balance,💧,true
464,TOPIC 37: NEPHRECTOMY — INDICATIONS AND CCU MANAGEMENT,CCN Curriculum,Nephrectomy for living donor kidney transplantation is performed on:,"[""The recipient's diseased kidney"",""The donor, to remove the kidney being given"",""Neither donor nor recipient"",""Only cadaveric donors""]",1,This links directly to renal transplant — a living donor's surgery to remove their kidney is itself a nephrectomy.,Renal & Fluid Balance,💧,true
465,BONUS: THE PRINCIPLES OF BARRIER NURSING,CCN Curriculum,"Barrier nursing, as classically defined, aims to:","[""Protect the patient from others"",""Protect others from the patient"",""Have no protective purpose"",""Only apply to surgical patients""]",1,Standard barrier nursing (source isolation) is about preventing an infected patient from spreading disease to others.,Infection Prevention,🦠,true
466,BONUS: THE PRINCIPLES OF BARRIER NURSING,CCN Curriculum,Reverse barrier nursing (protective isolation) is used to:,"[""Protect others from the patient"",""Protect a vulnerable/immunocompromised patient from external infection"",""Punish non-compliant patients"",""Replace the need for hand hygiene""]",1,"This flips the usual direction of isolation — here, the patient's weak immune system needs protecting from outside germs.",Infection Prevention,🦠,true
467,BONUS: THE PRINCIPLES OF BARRIER NURSING,CCN Curriculum,A patient with confirmed tuberculosis requires which type of transmission-based precaution?,"[""Contact precautions"",""Airborne precautions"",""Droplet precautions only"",""No special precautions needed""]",1,"TB spreads via tiny airborne particles, requiring a negative-pressure room and fit-tested N95 respirator.",Infection Prevention,🦠,true
468,BONUS: THE PRINCIPLES OF BARRIER NURSING,CCN Curriculum,"'Protective Environment' precautions, used for severely immunocompromised patients, rely on:","[""Negative pressure rooms"",""Positive pressure rooms"",""No special ventilation"",""Open-door policy""]",1,"Positive pressure keeps outside contaminated air from entering the room, protecting the vulnerable patient inside — the opposite of airborne precaution rooms.",Respiratory,🫁,true
469,BONUS: THE PRINCIPLES OF BARRIER NURSING,CCN Curriculum,The correct order for donning PPE is:,"[""Gloves → Mask → Gown → Goggles"",""Hand hygiene → Gown → Mask → Goggles → Gloves"",""Mask → Gloves → Gown → Goggles"",""Goggles → Gloves → Gown → Mask""]",1,"Gloves go on last, since they'll be the item most exposed to contamination during patient contact.",Infection Prevention,🦠,true
470,BONUS: THE PRINCIPLES OF BARRIER NURSING,CCN Curriculum,The correct order for doffing (removing) PPE is:,"[""Gloves → Goggles → Gown → Mask → Hand hygiene"",""Mask → Gown → Goggles → Gloves → Hand hygiene"",""Hand hygiene → Gloves → Gown → Mask → Goggles"",""Goggles → Mask → Gloves → Gown""]",0,"The most contaminated item (gloves) is removed first, and hand hygiene is performed last, after everything else is off.",Infection Prevention,🦠,true
471,BONUS: THE PRINCIPLES OF BARRIER NURSING,CCN Curriculum,Standard precautions differ from transmission-based precautions in that standard precautions:,"[""Are only used for confirmed infections"",""Apply to ALL patients, all the time"",""Are optional depending on staff preference"",""Replace the need for PPE entirely""]",1,"Standard precautions form the baseline of care for every patient, regardless of known infection status.",Infection Prevention,🦠,true
472,BONUS: THE PRINCIPLES OF BARRIER NURSING,CCN Curriculum,Which of the following is one of the 5 types of transmission-based precautions?,"[""Contact precautions"",""Standard precautions"",""Universal precautions"",""General precautions""]",0,"Contact precautions (used for organisms like MRSA and C. difficile) is one of the 5 named transmission-based precaution types, alongside droplet, airborne, enhanced barrier, and protective environment.",Infection Prevention,🦠,true
473,BONUS: ANTIMICROBIAL THERAPY,CCN Curriculum,Bactericidal antibiotics work by:,"[""Stopping bacterial growth only"",""Actively killing bacteria, e.g. by attacking the cell wall"",""Only affecting viruses"",""Having no mechanism of action""]",1,"Drugs like penicillins directly destroy bacteria, typically by disrupting their cell wall structure.",Infection Prevention,🦠,true
